first_name,last_name,employee_id,salary,department,email
Bailey,Jackson,9514,15000,Customer Research,bailey.jackson@datapocalypse.com
Deborah,Carter,8664,25000,Distribution,deborah.carter@datapocalypse.com
Frances,Navarro,15942,18500,Distribution,frances.navarro@datapocalypse.com
Tyler,Jones,15020,18500,Engineering - Front End,tyler.jones@datapocalypse.com
Beth,Rivera,10515,15000,Governance,beth.rivera@datapocalypse.com
Stephanie,Lopez,4104,15000,Marketing,stephanie.lopez@datapocalypse.com
Peter,Harvey,10680,15000,Engineering - Front End,peter.harvey@datapocalypse.com
Jason,Potter,19029,19500,Governance,jason.potter@datapocalypse.com
Jose,Cook,2953,21000,Marketing,jose.cook@datapocalypse.com
Eric,Combs,3875,16500,Marketing,eric.combs@datapocalypse.com
Ricky,Carpenter,9677,24000,Distribution,ricky.carpenter@datapocalypse.com
Susan,Aguilar,14864,28000,Marketing,susan.aguilar@datapocalypse.com
Stephanie,Robinson,2871,22500,Customer Research,stephanie.robinson@datapocalypse.com
Ryan,Schmitt,11523,35500,Engineering - Front End,ryan.schmitt@datapocalypse.com
Heather,Shepard,12911,22500,Engineering - Front End,heather.shepard@datapocalypse.com
Catherine,Cruz,14140,15000,Distribution,catherine.cruz@datapocalypse.com
Amanda,Miranda,6420,15000,Governance,amanda.miranda@datapocalypse.com
Michael,Reid,2593,24000,Engineering - Back End,michael.reid@datapocalypse.com
Barbara,Maldonado,12255,19000,Customer Research,barbara.maldonado@datapocalypse.com
Shawn,Rhodes,3281,15000,Distribution,shawn.rhodes@datapocalypse.com
Kelly,Mason,19461,22000,Marketing,kelly.mason@datapocalypse.com
Tanya,Mcclain,76,31000,Engineering - Front End,tanya.mcclain@datapocalypse.com
Sara,Thomas,1019,29500,Customer Research,sara.thomas@datapocalypse.com
Lori,Jones,16891,15000,Customer Research,lori.jones@datapocalypse.com
Derek,Harris,13517,15000,Engineering - Back End,derek.harris@datapocalypse.com
Victoria,Ward,14093,26000,Marketing,victoria.ward@datapocalypse.com
Danielle,Russell,4655,15000,Engineering - Front End,danielle.russell@datapocalypse.com
Nicole,Carroll,8927,15000,Governance,nicole.carroll@datapocalypse.com
Ricky,Mason,9112,22000,Engineering - Front End,ricky.mason@datapocalypse.com
Carlos,Barnett,15584,15000,Distribution,carlos.barnett@datapocalypse.com
Marie,Coleman,1356,15000,Engineering - Back End,marie.coleman@datapocalypse.com
Joshua,Riley,14535,16500,Marketing,joshua.riley@datapocalypse.com
Margaret,Torres,15359,34500,Distribution,margaret.torres@datapocalypse.com
Crystal,Romero,11821,23000,Governance,crystal.romero@datapocalypse.com
Michael,Moon,10161,23000,Governance,michael.moon@datapocalypse.com
William,Strong,8240,15000,Governance,william.strong@datapocalypse.com
John,Roy,2244,15000,Distribution,john.roy@datapocalypse.com
Ronald,Cohen,3646,15000,Engineering - Back End,ronald.cohen@datapocalypse.com
Nancy,Howard,15148,39000,Customer Research,nancy.howard@datapocalypse.com
Gilbert,Harris,612,41500,Marketing,gilbert.harris@datapocalypse.com
Aaron,Bell,16644,15000,Customer Research,aaron.bell@datapocalypse.com
Chris,Frazier,18837,19500,Engineering - Back End,chris.frazier@datapocalypse.com
Lacey,Lewis,4939,17500,Engineering - Front End,lacey.lewis@datapocalypse.com
Chad,Gomez,6242,25000,Distribution,chad.gomez@datapocalypse.com
Angel,Nicholson,10677,15000,Marketing,angel.nicholson@datapocalypse.com
Jacqueline,Walter,5334,20000,Marketing,jacqueline.walter@datapocalypse.com
Robert,Ortiz,9728,30500,Governance,robert.ortiz@datapocalypse.com
Aaron,Campbell,1086,35500,Customer Research,aaron.campbell@datapocalypse.com
Michael,Pearson,2119,32000,Customer Research,michael.pearson@datapocalypse.com
Amy,Weiss,15050,15000,Customer Research,amy.weiss@datapocalypse.com
Melvin,Lindsey,17223,26000,Customer Research,melvin.lindsey@datapocalypse.com
Robert,Gibson,1678,32000,Governance,robert.gibson@datapocalypse.com
Kevin,Valdez,4768,16500,Distribution,kevin.valdez@datapocalypse.com
William,Camacho,18293,17000,Customer Research,william.camacho@datapocalypse.com
Jason,Clark,14971,16500,Engineering - Front End,jason.clark@datapocalypse.com
Barbara,Moss,2528,28500,Distribution,barbara.moss@datapocalypse.com
Nicole,Williams,13501,24500,Engineering - Back End,nicole.williams@datapocalypse.com
Edgar,Carr,12923,19500,Distribution,edgar.carr@datapocalypse.com
Nancy,Church,14307,15000,Governance,nancy.church@datapocalypse.com
Mary,Hernandez,1767,15000,Engineering - Back End,mary.hernandez@datapocalypse.com
Kelly,Colon,12877,40000,Governance,kelly.colon@datapocalypse.com
Maria,Strong,14390,20000,Distribution,maria.strong@datapocalypse.com
Samuel,Hernandez,7332,22000,Marketing,samuel.hernandez@datapocalypse.com
Jay,Lucero,1467,15000,Engineering - Back End,jay.lucero@datapocalypse.com
Erin,Hughes,1476,25500,Engineering - Front End,erin.hughes@datapocalypse.com
Bruce,Mcdonald,2397,22500,Governance,bruce.mcdonald@datapocalypse.com
Jeremy,Long,843,34000,Engineering - Front End,jeremy.long@datapocalypse.com
Margaret,Buckley,18957,38500,Distribution,margaret.buckley@datapocalypse.com
Carol,Fowler,9004,17500,Distribution,carol.fowler@datapocalypse.com
Mary,Russell,11047,15000,Marketing,mary.russell@datapocalypse.com
Michael,Taylor,19498,21000,Customer Research,michael.taylor@datapocalypse.com
Kathy,Castro,18258,30500,Engineering - Back End,kathy.castro@datapocalypse.com
Brian,Sosa,19465,15500,Marketing,brian.sosa@datapocalypse.com
Amber,Jackson,19319,21500,Customer Research,amber.jackson@datapocalypse.com
William,David,725,26000,Distribution,william.david@datapocalypse.com
Steven,Henry,14751,31000,Customer Research,steven.henry@datapocalypse.com
Vanessa,Johnson,19108,31500,Customer Research,vanessa.johnson@datapocalypse.com
Brandon,Wong,7595,35000,Engineering - Back End,brandon.wong@datapocalypse.com
Ashley,White,16202,15000,Engineering - Front End,ashley.white@datapocalypse.com
Lisa,Martinez,12977,18500,Engineering - Front End,lisa.martinez@datapocalypse.com
Matthew,Neal,12457,33000,Customer Research,matthew.neal@datapocalypse.com
Tracy,Huffman,14610,29500,Customer Research,tracy.huffman@datapocalypse.com
Jeanette,Richards,4255,29000,Engineering - Front End,jeanette.richards@datapocalypse.com
Gregory,Nelson,18930,22000,Customer Research,gregory.nelson@datapocalypse.com
Brent,Yu,15562,17500,Distribution,brent.yu@datapocalypse.com
Darlene,Martinez,6021,30000,Marketing,darlene.martinez@datapocalypse.com
Marcus,Arnold,828,15000,Engineering - Back End,marcus.arnold@datapocalypse.com
Megan,Campbell,2161,15000,Customer Research,megan.campbell@datapocalypse.com
David,Hancock,8443,16500,Engineering - Back End,david.hancock@datapocalypse.com
Gina,Harris,8326,23000,Distribution,gina.harris@datapocalypse.com
Brenda,Thompson,19308,15000,Engineering - Front End,brenda.thompson@datapocalypse.com
Daisy,Palmer,7676,39000,Distribution,daisy.palmer@datapocalypse.com
Anthony,Shelton,11833,34000,Engineering - Back End,anthony.shelton@datapocalypse.com
Rhonda,Hanson,2847,15000,Marketing,rhonda.hanson@datapocalypse.com
Brandi,Johnson,2714,19500,Engineering - Back End,brandi.johnson@datapocalypse.com
Johnny,Cochran,7356,28500,Engineering - Back End,johnny.cochran@datapocalypse.com
Marie,Smith,6022,17000,Engineering - Front End,marie.smith@datapocalypse.com
Eric,Alvarado,9234,15000,Engineering - Front End,eric.alvarado@datapocalypse.com
Debra,Ellis,13219,18000,Marketing,debra.ellis@datapocalypse.com
Denise,Lewis,6348,17500,Engineering - Back End,denise.lewis@datapocalypse.com
John,Walls,8658,23000,Engineering - Front End,john.walls@datapocalypse.com
Jason,Johnson,12222,15000,Customer Research,jason.johnson@datapocalypse.com
Erica,Rose,9391,15000,Governance,erica.rose@datapocalypse.com
Margaret,Small,8798,15000,Governance,margaret.small@datapocalypse.com
Brandy,Ross,5538,32000,Engineering - Front End,brandy.ross@datapocalypse.com
Debbie,Chaney,2734,23500,Governance,debbie.chaney@datapocalypse.com
April,Fisher,12855,36500,Engineering - Back End,april.fisher@datapocalypse.com
Mia,Jones,17,29500,Governance,mia.jones@datapocalypse.com
Ana,Benson,1572,15000,Marketing,ana.benson@datapocalypse.com
Jeffrey,Roach,11760,52500,Marketing,jeffrey.roach@datapocalypse.com
Cody,Brooks,7819,15500,Governance,cody.brooks@datapocalypse.com
Maria,Hernandez,6184,15000,Governance,maria.hernandez@datapocalypse.com
Paul,Sanford,13681,15000,Engineering - Back End,paul.sanford@datapocalypse.com
Bryce,Evans,5259,27500,Engineering - Front End,bryce.evans@datapocalypse.com
Kevin,Ellis,1478,15000,Governance,kevin.ellis@datapocalypse.com
Rhonda,Weaver,8039,15000,Engineering - Front End,rhonda.weaver@datapocalypse.com
Anthony,Todd,6922,17500,Customer Research,anthony.todd@datapocalypse.com
Mario,Beasley,8735,22000,Engineering - Back End,mario.beasley@datapocalypse.com
David,Thompson,6843,19000,Marketing,david.thompson@datapocalypse.com
Sara,King,13133,24500,Marketing,sara.king@datapocalypse.com
Kevin,Norton,16705,36000,Customer Research,kevin.norton@datapocalypse.com
Matthew,Stevens,12434,32000,Engineering - Back End,matthew.stevens@datapocalypse.com
Devin,Robinson,11446,18000,Customer Research,devin.robinson@datapocalypse.com
Jeffrey,Riley,5798,39000,Engineering - Front End,jeffrey.riley@datapocalypse.com
Denise,Knight,10121,20500,Customer Research,denise.knight@datapocalypse.com
Dylan,Diaz,11822,15000,Governance,dylan.diaz@datapocalypse.com
Emily,Campbell,19973,43500,Distribution,emily.campbell@datapocalypse.com
April,Mullen,1880,15000,Customer Research,april.mullen@datapocalypse.com
Travis,Mcdonald,16007,21000,Governance,travis.mcdonald@datapocalypse.com
Sarah,Allen,7113,37000,Engineering - Front End,sarah.allen@datapocalypse.com
Jerry,Bradley,19321,27500,Customer Research,jerry.bradley@datapocalypse.com
Lauren,Steele,12483,15000,Marketing,lauren.steele@datapocalypse.com
Martin,Gonzalez,18469,26000,Engineering - Back End,martin.gonzalez@datapocalypse.com
Jonathan,Knapp,15151,15000,Marketing,jonathan.knapp@datapocalypse.com
Alexander,Davis,3594,27500,Engineering - Front End,alexander.davis@datapocalypse.com
Janice,Waters,15682,22500,Customer Research,janice.waters@datapocalypse.com
Elizabeth,Johnson,18903,20500,Distribution,elizabeth.johnson@datapocalypse.com
Elizabeth,Obrien,6620,21500,Governance,elizabeth.obrien@datapocalypse.com
Troy,Young,12579,34000,Distribution,troy.young@datapocalypse.com
Debra,Smith,13541,16000,Governance,debra.smith@datapocalypse.com
Susan,Smith,16614,25000,Governance,susan.smith@datapocalypse.com
Christopher,Glenn,19836,28500,Customer Research,christopher.glenn@datapocalypse.com
Michael,Calhoun,12216,15000,Marketing,michael.calhoun@datapocalypse.com
Joshua,Newman,6251,25000,Engineering - Back End,joshua.newman@datapocalypse.com
Roger,Brown,6926,17000,Governance,roger.brown@datapocalypse.com
Tyler,Allen,18334,15000,Governance,tyler.allen@datapocalypse.com
Sarah,Choi,4525,19000,Distribution,sarah.choi@datapocalypse.com
Kimberly,Griffin,4236,25000,Engineering - Front End,kimberly.griffin@datapocalypse.com
Brittany,Cardenas,3400,40000,Marketing,brittany.cardenas@datapocalypse.com
Morgan,Ryan,18401,37500,Marketing,morgan.ryan@datapocalypse.com
Christopher,Griffin,7329,30000,Customer Research,christopher.griffin@datapocalypse.com
Michelle,Winters,17498,40500,Engineering - Back End,michelle.winters@datapocalypse.com
Kimberly,Dixon,1720,35000,Customer Research,kimberly.dixon@datapocalypse.com
Michael,Mason,8278,16500,Marketing,michael.mason@datapocalypse.com
Mary,Barnes,2071,15000,Distribution,mary.barnes@datapocalypse.com
Angela,Taylor,8191,36000,Governance,angela.taylor@datapocalypse.com
Yolanda,Grimes,5282,33000,Marketing,yolanda.grimes@datapocalypse.com
Erik,Mcintosh,12364,34000,Governance,erik.mcintosh@datapocalypse.com
Breanna,Myers,17236,28500,Distribution,breanna.myers@datapocalypse.com
Justin,Miller,7821,15000,Marketing,justin.miller@datapocalypse.com
Heather,Carlson,8565,22000,Governance,heather.carlson@datapocalypse.com
Sarah,Preston,18787,25500,Customer Research,sarah.preston@datapocalypse.com
Cynthia,Moore,9185,21500,Engineering - Front End,cynthia.moore@datapocalypse.com
Donald,Matthews,10022,15500,Customer Research,donald.matthews@datapocalypse.com
Travis,Garcia,14708,29500,Engineering - Front End,travis.garcia@datapocalypse.com
Albert,Mann,14187,24500,Marketing,albert.mann@datapocalypse.com
Hannah,Shelton,18325,15000,Governance,hannah.shelton@datapocalypse.com
James,Higgins,12696,17500,Marketing,james.higgins@datapocalypse.com
Christine,Meadows,18992,15000,Marketing,christine.meadows@datapocalypse.com
Ian,Butler,1775,15000,Engineering - Back End,ian.butler@datapocalypse.com
Sharon,Scott,5838,26000,Engineering - Front End,sharon.scott@datapocalypse.com
Jason,Whitehead,19443,17000,Governance,jason.whitehead@datapocalypse.com
Jessica,Mann,1441,25500,Customer Research,jessica.mann@datapocalypse.com
Edward,Vega,4154,32000,Engineering - Front End,edward.vega@datapocalypse.com
Caleb,Burke,10507,15000,Marketing,caleb.burke@datapocalypse.com
Matthew,James,14807,24000,Engineering - Back End,matthew.james@datapocalypse.com
Victoria,Montoya,18601,24000,Customer Research,victoria.montoya@datapocalypse.com
Donna,Jones,18503,28000,Governance,donna.jones@datapocalypse.com
Daniel,Foster,9918,23500,Governance,daniel.foster@datapocalypse.com
Brian,Brown,6707,15000,Distribution,brian.brown@datapocalypse.com
Craig,Dunn,16466,15000,Governance,craig.dunn@datapocalypse.com
Whitney,Martinez,8888,26000,Engineering - Back End,whitney.martinez@datapocalypse.com
Wanda,Chung,14614,32000,Customer Research,wanda.chung@datapocalypse.com
Hector,Huang,17574,33000,Engineering - Back End,hector.huang@datapocalypse.com
Jonathan,Mcfarland,1981,44000,Distribution,jonathan.mcfarland@datapocalypse.com
Jennifer,Rice,179,33500,Distribution,jennifer.rice@datapocalypse.com
Susan,Stevens,19361,27000,Engineering - Back End,susan.stevens@datapocalypse.com
Beth,Mcdaniel,10777,34500,Engineering - Front End,beth.mcdaniel@datapocalypse.com
Victoria,Allen,5948,22000,Governance,victoria.allen@datapocalypse.com
William,Stevens,5632,15000,Customer Research,william.stevens@datapocalypse.com
Hannah,Hoffman,14253,32500,Distribution,hannah.hoffman@datapocalypse.com
Jesus,Davis,17781,17500,Governance,jesus.davis@datapocalypse.com
Christopher,Moore,9036,24000,Engineering - Back End,christopher.moore@datapocalypse.com
Matthew,Lewis,14155,35500,Engineering - Back End,matthew.lewis@datapocalypse.com
Lisa,Swanson,6391,31000,Customer Research,lisa.swanson@datapocalypse.com
Matthew,Smith,2960,15500,Engineering - Front End,matthew.smith@datapocalypse.com
Michael,Brown,4185,17000,Marketing,michael.brown@datapocalypse.com
Lauren,Clarke,10558,29500,Marketing,lauren.clarke@datapocalypse.com
Carrie,Simpson,15345,15000,Marketing,carrie.simpson@datapocalypse.com
Amber,Chandler,9609,26000,Engineering - Front End,amber.chandler@datapocalypse.com
Heather,Hughes,16215,15000,Engineering - Front End,heather.hughes@datapocalypse.com
Sheena,Cook,10747,15000,Engineering - Front End,sheena.cook@datapocalypse.com
Erin,Cunningham,1696,32000,Distribution,erin.cunningham@datapocalypse.com
Rachel,Russell,14709,29000,Engineering - Front End,rachel.russell@datapocalypse.com
Matthew,Page,3789,15000,Engineering - Back End,matthew.page@datapocalypse.com
Jeffrey,Alexander,9127,26000,Customer Research,jeffrey.alexander@datapocalypse.com
Steven,Johnson,13650,15000,Engineering - Front End,steven.johnson@datapocalypse.com
Benjamin,Johnson,13825,15000,Engineering - Back End,benjamin.johnson@datapocalypse.com
Rebecca,Morgan,19772,15000,Engineering - Back End,rebecca.morgan@datapocalypse.com
Lynn,Gross,5949,15500,Governance,lynn.gross@datapocalypse.com
Eugene,Martin,12131,15000,Engineering - Back End,eugene.martin@datapocalypse.com
Trevor,Garza,6656,15500,Marketing,trevor.garza@datapocalypse.com
Jason,Tate,8526,15000,Marketing,jason.tate@datapocalypse.com
Brian,Weeks,16136,16000,Engineering - Back End,brian.weeks@datapocalypse.com
Micheal,Hubbard,509,37500,Engineering - Front End,micheal.hubbard@datapocalypse.com
Michael,Briggs,3098,27000,Governance,michael.briggs@datapocalypse.com
Kari,Smith,10913,28000,Customer Research,kari.smith@datapocalypse.com
Jason,Levy,16918,15000,Marketing,jason.levy@datapocalypse.com
Michael,Jones,6963,20500,Engineering - Back End,michael.jones@datapocalypse.com
Lori,Hall,4971,16000,Customer Research,lori.hall@datapocalypse.com
Michael,Jones,10658,15000,Engineering - Back End,michael.jones@datapocalypse.com
Travis,Lara,10327,28000,Engineering - Back End,travis.lara@datapocalypse.com
Ronald,Martinez,17195,33000,Customer Research,ronald.martinez@datapocalypse.com
John,Day,16155,18000,Governance,john.day@datapocalypse.com
Jennifer,Hickman,15993,15000,Engineering - Back End,jennifer.hickman@datapocalypse.com
James,Hickman,13233,23500,Distribution,james.hickman@datapocalypse.com
Alexis,Freeman,17550,15000,Engineering - Front End,alexis.freeman@datapocalypse.com
Jared,Huang,14832,17500,Governance,jared.huang@datapocalypse.com
Michael,Davis,19695,42000,Engineering - Back End,michael.davis@datapocalypse.com
Lauren,Le,7666,15000,Governance,lauren.le@datapocalypse.com
Erin,Duncan,1319,15500,Engineering - Front End,erin.duncan@datapocalypse.com
Paula,King,16587,15000,Governance,paula.king@datapocalypse.com
Monica,Miller,3457,37000,Distribution,monica.miller@datapocalypse.com
William,Rodriguez,13955,15000,Governance,william.rodriguez@datapocalypse.com
Nichole,Johnson,17397,15000,Engineering - Front End,nichole.johnson@datapocalypse.com
Tina,Payne,4912,15000,Customer Research,tina.payne@datapocalypse.com
Traci,Fields,4990,32000,Governance,traci.fields@datapocalypse.com
Jennifer,Santos,2874,15500,Marketing,jennifer.santos@datapocalypse.com
Christy,Mcdaniel,13202,22500,Engineering - Back End,christy.mcdaniel@datapocalypse.com
Donald,Atkins,1605,34500,Marketing,donald.atkins@datapocalypse.com
Megan,Newton,14753,32000,Engineering - Back End,megan.newton@datapocalypse.com
William,Bailey,2733,15000,Governance,william.bailey@datapocalypse.com
Dalton,Perez,15275,39000,Distribution,dalton.perez@datapocalypse.com
Anthony,Mitchell,19558,15000,Governance,anthony.mitchell@datapocalypse.com
Emily,Garcia,13428,41000,Distribution,emily.garcia@datapocalypse.com
Hector,Harris,6336,26500,Customer Research,hector.harris@datapocalypse.com
Kelly,Davis,10411,34500,Distribution,kelly.davis@datapocalypse.com
Lori,Wilcox,10958,25000,Engineering - Front End,lori.wilcox@datapocalypse.com
Amanda,Lee,6945,15000,Engineering - Front End,amanda.lee@datapocalypse.com
Brian,French,3398,26500,Marketing,brian.french@datapocalypse.com
Chase,Roberts,14565,15000,Engineering - Back End,chase.roberts@datapocalypse.com
Richard,Bowman,15022,15000,Engineering - Front End,richard.bowman@datapocalypse.com
John,Fisher,9480,20500,Distribution,john.fisher@datapocalypse.com
Elijah,Brooks,8004,30500,Distribution,elijah.brooks@datapocalypse.com
Nicole,Bentley,14786,21000,Governance,nicole.bentley@datapocalypse.com
Anthony,Page,7964,15000,Marketing,anthony.page@datapocalypse.com
Kevin,Young,5110,32500,Customer Research,kevin.young@datapocalypse.com
Caitlyn,Franklin,14506,35000,Marketing,caitlyn.franklin@datapocalypse.com
Cassandra,Schmitt,13580,15000,Customer Research,cassandra.schmitt@datapocalypse.com
Sara,Garcia,16590,31500,Marketing,sara.garcia@datapocalypse.com
Tiffany,Bruce,1075,15000,Distribution,tiffany.bruce@datapocalypse.com
Rachel,Fowler,1573,15000,Engineering - Back End,rachel.fowler@datapocalypse.com
Shannon,Payne,1225,27500,Engineering - Back End,shannon.payne@datapocalypse.com
Grace,Morgan,15829,15000,Engineering - Front End,grace.morgan@datapocalypse.com
